ticker,company_name,member_from,member_until
1332.T,NISSUI CORP.,2006-08-01,
1333.T,Maruha Nichiro,2014-04-02,2022-10-04
1334.T,Maruha Nichiro Holdings,2009-04-02,2014-03-27
1605.T,INPEX CORP.,2006-08-01,
1721.T,COMSYS HOLDINGS CORP.,2006-08-01,
1801.T,TAISEI CORP.,2006-08-01,
1802.T,OBAYASHI CORP.,2006-08-01,
1803.T,SHIMIZU CORP.,2006-08-01,
1808.T,Haseko Corporation,2015-10-01,
1812.T,KAJIMA CORP.,2006-08-01,
1861.T,Kumagai Gumi,2006-08-01,2009-04-02
1925.T,"DAIWA HOUSE IND. CO., LTD.",2006-08-01,
1928.T,"SEKISUI HOUSE, LTD.",2006-08-01,
1963.T,JGC HOLDINGS CORP.,2006-08-01,
2002.T,NISSHIN SEIFUN GROUP INC.,2006-08-01,
2202.T,Meiji Seika Kaisha,2006-08-01,2009-04-02
2261.T,Meiji Dairies,2006-08-01,2009-04-02
2269.T,Meiji Holdings,2009-04-02,
2282.T,NH FOODS LTD.,2006-08-01,
2413.T,M3,2019-10-01,
2432.T,DeNA,2015-10-01,
2501.T,SAPPORO BREWERIES LTD.,2006-08-01,
2502.T,"ASAHI GROUP HOLDINGS, LTD.",2006-08-01,
2503.T,"KIRIN HOLDINGS CO., LTD.",2006-08-01,
2531.T,Takara Holdings,2006-08-01,2025-04-01
2602.T,Nisshin OilliO Group,2006-08-01,2008-03-26
2768.T,SOJITZ CORP.,2006-08-01,
2779.T,Mitsukoshi,2006-08-01,2008-07-28
2801.T,KIKKOMAN CORP.,2006-08-01,
2802.T,"AJINOMOTO CO., INC.",2006-08-01,
285A.T,Kioxia Holdings,2026-04-01,
2871.T,NICHIREI CORP.,2006-08-01,
2914.T,JAPAN TOBACCO INC.,2006-08-01,
3086.T,J. Front Retailing,2008-03-26,
3092.T,ZOZO,2025-04-01,
3099.T,Isetan Mitsukoshi Holdings,2008-07-28,
3101.T,Toyobo,2006-08-01,2025-04-01
3103.T,Unitika,2006-08-01,2022-10-04
3105.T,Nisshinbo Holdings,2006-08-01,2021-12-02
3110.T,Nitto Boseki,2006-08-01,2015-10-01
3289.T,Tokyu Fudosan Holdings Corporation,2013-10-02,
3382.T,"SEVEN & I HOLDINGS CO., LTD.",2006-08-01,
3401.T,TEIJIN LTD.,2006-08-01,
3402.T,"TORAY INDUSTRIES, INC.",2006-08-01,
3404.T,Mitsubishi Rayon,2006-08-01,2010-09-28
3405.T,"KURARAY CO., LTD.",2006-08-01,
3407.T,ASAHI KASEI CORP.,2006-08-01,
3436.T,SUMCO,2008-03-26,
3659.T,NEXON,2020-10-29,
3697.T,SHIFT,2025-10-01,
3861.T,OJI HOLDINGS CORP.,2006-08-01,
3863.T,Nippon Paper Industries,2013-04-02,2025-04-01
3864.T,Mitsubishi Paper Mills Ltd.,2006-08-01,2013-10-02
3865.T,Hokuetsu Kishu Paper,2006-08-01,2018-10-01
3893.T,Nippon Paper Group,2006-08-01,2013-03-27
4004.T,RESONAC HOLDINGS CORP.,2006-08-01,
4005.T,"SUMITOMO CHEMICAL CO., LTD.",2006-08-01,
4021.T,NISSAN CHEMICAL CORP.,2006-08-01,
4041.T,Nippon Soda,2006-08-01,2016-10-03
4042.T,TOSOH CORP.,2006-08-01,
4043.T,Tokuyama,2012-09-26,
4045.T,Toagosei,2006-08-01,2009-04-02
4061.T,"DENKA CO., LTD.",2006-08-01,
4062.T,Ibiden,2025-11-11,
4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",2006-08-01,
4151.T,"KYOWA KIRIN CO., LTD.",2006-08-01,
4183.T,"MITSUI CHEMICALS, INC.",2006-08-01,
4188.T,MITSUBISHI CHEMICAL GROUP CORP.,2006-08-01,
4208.T,UBE CORP.,2006-08-01,
4272.T,Nippon Kayaku,2006-08-01,2020-10-01
4307.T,Nomura Research Institute,2025-04-01,
4324.T,DENTSU GROUP INC.,2006-08-01,
4385.T,Mercari,2025-04-01,
4452.T,KAO CORP.,2006-08-01,
4502.T,"TAKEDA PHARMACEUTICAL CO., LTD.",2006-08-01,
4503.T,ASTELLAS PHARMA INC.,2006-08-01,
4506.T,"SUMITOMO PHARMA CO., LTD.",2006-08-01,
4507.T,"SHIONOGI & CO., LTD.",2006-08-01,
4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",2006-08-01,
4523.T,"EISAI CO., LTD.",2006-08-01,
4543.T,TERUMO CORP.,2006-08-01,
4568.T,"DAIICHI SANKYO CO., LTD.",2006-08-01,
4578.T,Otsuka Holdings,2017-01-24,
4631.T,DIC,2018-12-26,2025-04-01
4661.T,Oriental Land,2025-04-01,
4689.T,LY CORP.,2006-08-01,
4704.T,TREND MICRO INC.,2006-08-01,
4751.T,CyberAgent,2018-10-01,
4755.T,Rakuten,2016-10-03,
4795.T,Sky Perfect Communications,2006-08-01,2007-03-27
4901.T,FUJIFILM HOLDINGS CORP.,2006-08-01,
4902.T,"KONICA MINOLTA, INC.",2006-08-01,
4911.T,"SHISEIDO CO., LTD.",2006-08-01,
5001.T,Nippon Oil,2006-08-01,2010-09-28
5002.T,Showa Shell Sekiyu,2006-08-01,2019-03-27
5016.T,Nippon Mining Holdings,2006-08-01,2010-09-28
5019.T,Idemitsu Kosan,2019-03-27,
5020.T,JX Holdings,2010-09-28,
5101.T,"THE YOKOHAMA RUBBER CO., LTD.",2006-08-01,
5108.T,BRIDGESTONE CORP.,2006-08-01,
5201.T,AGC INC.,2006-08-01,
5202.T,Nippon Sheet Glass,2006-08-01,2025-04-01
5214.T,Nippon Electric Glass,2010-09-28,
5232.T,Sumitomo Osaka Cement,2006-08-01,2025-04-01
5233.T,TAIHEIYO CEMENT CORP.,2006-08-01,
5301.T,"TOKAI CARBON CO., LTD.",2006-08-01,
5332.T,TOTO LTD.,2006-08-01,
5333.T,NGK CORP.,2006-08-01,
5401.T,NIPPON STEEL CORP.,2006-08-01,
5405.T,Sumitomo Metal Industries,2006-08-01,2012-09-26
5406.T,"KOBE STEEL, LTD.",2006-08-01,
5407.T,Nisshin Steel,2010-09-28,2012-10-02
